id,municipio_id:id,code,name,Desc_Corta_Parr,Desc_Larga_Parr,Nivel_Parr
3269,3268,1,PARROQUIA BOBURES,PARR.,PARROQUIA,3
2187,2185,2,PARROQUIA IGNACIO BRICENO,PARR.,PARROQUIA,3
2639,2637,3,PARROQUIA CHAGUARAMAL,PARR.,PARROQUIA,3
2882,2881,4,PARROQUIA MARIGUITAR,PARR.,PARROQUIA,3
2321,2318,5,PARROQUIA SAN CARLOS DE AUSTRIA,PARR.,PARROQUIA,3
2034,2032,6,PARROQUIA SAN MATEO,PARR.,PARROQUIA,3
15,2,7,PARROQUIA COCHE,PARR.,PARROQUIA,3
3040,3035,8,PARROQUIA MERCEDES DIAZ,PARR.,PARROQUIA,3
2827,2825,9,PARROQUIA CAPITAL PAPELON,PARR.,PARROQUIA,3
2090,2089,10,PARROQUIA ARAMENDI,PARR.,PARROQUIA,3
2215,2208,11,PARROQUIA SIMON BOLIVAR,PARR.,PARROQUIA,3
3261,3259,12,PARROQUIA JOSE CENOVIO URRIBARRI,PARR.,PARROQUIA,3
2554,2548,13,PARROQUIA PARAISO DE SAN JOSE,PARR.,PARROQUIA,3
116,2,14,PARROQUIA SAN JOSE,PARR.,PARROQUIA,3
7283,2251,15,PARROQUIA SECCION CAPITAL SIFONTES,PARR.,PARROQUIA,3
3059,3056,16,PARROQUIA TARIBA,PARR.,PARROQUIA,3
2120,604,17,PARROQUIA JOSE ANGEL LAMAS,PARR.,PARROQUIA,3
2186,2185,18,PARROQUIA CIUDAD BOLIVIA,PARR.,PARROQUIA,3
738,678,19,PARROQUIA EL CAFETAL,PARR.,PARROQUIA,3
2502,2499,20,PARROQUIA CAPITAL SAN JUAN DE LOS MORROS,PARR.,PARROQUIA,3
2408,2403,21,PARROQUIA EL HATO,PARR.,PARROQUIA,3
2838,2836,22,PARROQUIA SANTA FE,PARR.,PARROQUIA,3
2842,2840,23,PARROQUIA CAPITAL SANTA ROSALIA,PARR.,PARROQUIA,3
2523,2521,24,PARROQUIA CAP. SAN GERONIMO DE GUAYABAL,PARR.,PARROQUIA,3
2520,2518,25,PARROQUIA CAPITAL ZARAZA,PARR.,PARROQUIA,3
2299,2291,26,PARROQUIA UNION,PARR.,PARROQUIA,3
2787,2785,27,PARROQUIA CAPITAL MARCANO,PARR.,PARROQUIA,3
3160,3158,28,PARROQUIA ARISTIDES CALVANI,PARR.,PARROQUIA,3
2081,2079,29,PARROQUIA QUINTERO,PARR.,PARROQUIA,3
2071,2070,30,PARROQUIA APURITO,PARR.,PARROQUIA,3
8061,7992,31,PARROQUIA LUIS ALBERTO GOMEZ,PARR.,PARROQUIA,3
2744,2743,32,PARROQUIA TABAY,PARR.,PARROQUIA,3
2269,2266,33,PARROQUIA TACARIGUA,PARR.,PARROQUIA,3
2035,2032,34,PARROQUIA SANTA INES,PARR.,PARROQUIA,3
479,394,35,PARROQUIA JUNKO,PARR.,PARROQUIA,3
952,909,36,PARROQUIA LOS TEQUES,PARR.,PARROQUIA,3
2111,602,37,PARROQUIA JOSE CASANOVA GODOY,PARR.,PARROQUIA,3
2134,659,38,PARROQUIA ZAMORA,PARR.,PARROQUIA,3
2567,2566,39,PARROQUIA AGUA VIVA,PARR.,PARROQUIA,3
3265,3264,40,PARROQUIA MANUEL MANRIQUE,PARR.,PARROQUIA,3
2531,2530,41,PARROQUIA PIO TAMAYO,PARR.,PARROQUIA,3
1263,1158,42,PARROQUIA PETARE,PARR.,PARROQUIA,3
2433,2430,43,PARROQUIA RIO SECO,PARR.,PARROQUIA,3
3018,3015,44,PARROQUIA SABANA DE MENDOZA,PARR.,PARROQUIA,3
3013,3010,45,PARROQUIA CARVAJAL,PARR.,PARROQUIA,3
2402,2397,46,PARROQUIA PURURECHE,PARR.,PARROQUIA,3
2374,2371,47,PARROQUIA SAN LUIS,PARR.,PARROQUIA,3
2446,2444,48,PARROQUIA COLINA,PARR.,PARROQUIA,3
88,2,49,PARROQUIA LA CANDELARIA,PARR.,PARROQUIA,3
2844,2843,50,PARROQUIA CONCEPCION,PARR.,PARROQUIA,3
