id,parroquia_id:id,code,name,Cod_Postal,Desc_Corta_Urb,Desc_Larga_Urb,Nivel_Urb
15256,3071,1,URBANIZACION GARCIA DE HEVIA,5020,URB.,URBANIZACION,4
12306,2427,2,SECTOR LAS COCUIZAS,4155,SECT.,SECTOR,6
25402,2301,3,URBANIZACION VALENCEY,2006,URB.,URBANIZACION,4
15948,3113,4,BARRIO ANDRES BELLO HERNANDEZ,5043,BARR.,BARRIO,5
12319,2428,5,CASERIO LA Y,4157,CAS.,CASERIO,14
11060,2528,6,SECTOR ANIMA DE TAGUAPIRE,2354,SECT.,SECTOR,6
14699,3052,7,ALDEA EL SALADITO,5007,ALD,ALDEA,23
23035,2733,8,SECTOR MESA DE BARRO,null,SECT.,SECTOR,6
30742,2775,9,URBANIZACION EL ENCANTO,6308,URB.,URBANIZACION,4
4743,1077,10,SECTOR LA PALMITA,1236,SECT.,SECTOR,6
20207,2188,11,SECTOR EL TORO,5214,SECT.,SECTOR,6
11255,2377,12,SECTOR LA PRIMAVERA,4121,SECT.,SECTOR,6
11081,2030,13,CASERIO LA ENCANTADA,6020,CAS.,CASERIO,14
11047,2525,14,CASERIO EL MEDANO,2301,CAS.,CASERIO,14
3649,1490,15,SECTOR EL VAPOR,3214,SECT.,SECTOR,6
28911,2543,16,BARRIO LOS POCITOS,3001,BARR.,BARRIO,5
11874,2406,17,SECTOR BARAIVED,4144,SECT.,SECTOR,6
25781,2310,18,COMUNIDAD SOCIALISTA BOCA DE RIO SECT. 1,2003,COM.,COMUNIDAD,15
24866,2286,19,URBANIZACION VALLES ALTOS,2041,URB.,URBANIZACION,4
24325,2274,20,URBANIZACION CONJ. RESD. BRISAS DEL LAGO II,2016,URB.,URBANIZACION,4
29763,2569,21,CASERIO COCO E MONO,3023,CAS.,CASERIO,14
20672,2876,22,URBANIZACION HATO ROMAR III,6150,URB.,URBANIZACION,4
4827,1080,23,SECTOR EL TANQUE,1214,SECT.,SECTOR,6
6961,2238,24,CASERIO EL VIGIA,8001,CAS.,CASERIO,14
25915,2310,25,URBANIZACION TACARIGUA,2003,URB.,URBANIZACION,4
23839,2235,26,SECTOR TAGUAPIRE,8001,SECT.,SECTOR,6
8708,2321,27,BARRIO EL RETAZO,2201,BARR.,BARRIO,5
991,952,28,SECTOR LA MATA      BRRO SUCRE,1170,SECT.,SECTOR,6
1280,1263,29,URBANIZACION MACARACUAY,1070,URB.,URBANIZACION,4
33966,3243,30,SECTOR POTRERITO,4036,SECT.,SECTOR,6
25893,2310,31,URBANIZACION PARQUE VALENCIA SECT. 25,2003,URB.,URBANIZACION,4
12657,2441,32,SECTOR LA ENTRADA,2048,SECT.,SECTOR,6
26993,2993,33,SECTOR LOS BANITOS,3140,SECT.,SECTOR,6
24442,2275,34,URBANIZACION VILLAS DEL CARMEN II,2015,URB.,URBANIZACION,4
19694,2169,35,BARRIO LOS POETAS,5206,BARR.,BARRIO,5
28747,2540,36,URBANIZACION FELIX MONTES - EL UJANO,3001,URB.,URBANIZACION,4
14868,14827,37,CASERIO PIAR,5010,CAS.,CASERIO,14
29911,2572,38,BARRIO BRISAS DEL CERRITO,3015,BARR.,BARRIO,5
14251,2059,39,URBANIZACION LAS COLINAS,6001,URB.,URBANIZACION,4
30093,2581,40,CASERIO PARAMITO,3050,CAS.,CASERIO,14
25344,2301,41,URBANIZACION CONJ. RESD. TERRANOSTRA,2006,URB.,URBANIZACION,4
34130,3252,42,BARRIO LA MANO DE DIOS,4004,BARR.,BARRIO,5
13727,2027,43,URBANIZACION CONJ. RESD. PUERTO PLATA,6023,URB.,URBANIZACION,4
28751,2540,44,URBANIZACION LA RUEZGA NORTE SECTOR 1,3001,URB.,URBANIZACION,4
18686,2834,45,CASERIO BARRIALITO,3355,CAS.,CASERIO,14
20821,2882,46,SECTOR LA CHICA,6107,SECT.,SECTOR,6
23761,23731,47,SECTOR CERRO LA ESPERANZA,8001,SECT.,SECTOR,6
16297,3130,48,ALDEA LOS PICACHOS,5054,ALD,ALDEA,23
33197,3225,49,URBANIZACION LOS PINOS,4005,URB.,URBANIZACION,4
32687,3206,50,SECTOR CAMPO SHULUMBERGER,4019,SECT.,SECTOR,6
25247,2298,51,SECTOR EL SOCORRO,2050,SECT.,SECTOR,6
32295,3191,52,BARRIO RAFAEL URDANETA,4032,BARR.,BARRIO,5
26779,2978,53,CASERIO MARCO TULIO CARRILLO KM 17,3127,CAS.,CASERIO,14
17676,2803,54,URBANIZACION LOS BUCARES,3303,URB.,URBANIZACION,4
25451,2303,55,ORG. COMUNITARIA DE VIVIENDAS PROLONGACION MIRANDA,2018,OCV,ORG. COMUNITARIA DE VIVIENDAS,16
28542,2536,56,CASERIO LA PASTORA,3025,CAS.,CASERIO,14
16010,3117,57,BARRIO ANDRES ELOY BLANCO,5001,BARR.,BARRIO,5
20929,2890,58,PUEBLO MERITO,6102,PBLO.,PUEBLO,8
31601,3170,59,URBANIZACION LOS NARAJOS,5101,URB.,URBANIZACION,4
16533,2025,60,CASERIO COGOLLAL,6057,CAS.,CASERIO,14
32540,3198,61,SECTOR JOVITO,4033,SECT.,SECTOR,6
26668,2966,62,SECTOR LA SABANETA,3105,SECT.,SECTOR,6
5705,2119,63,URBANIZACION LAS ROSAS,2118,URB.,URBANIZACION,4
6661,2216,64,SECTOR CASTILLITO,8050,SECT.,SECTOR,6
12534,2435,65,URBANIZACION VILLA ZARAGOSA,4101,URB.,URBANIZACION,4
13084,2464,66,SECTOR LOMAS DE UNION,4154,SECT.,SECTOR,6
7485,6971,67,CASERIO CHIGUIRE,8054,CAS.,CASERIO,14
23799,23731,68,URBANIZACION LA FONTANA,8001,URB.,URBANIZACION,4
7404,6791,69,SECTOR PUNTA DE CEDENO,8007,SECT.,SECTOR,6
28592,2538,70,CASERIO DIVIDIVE,3009,CAS.,CASERIO,14
26231,2938,71,SECTOR BISUQUIU,3103,SECT.,SECTOR,6
23560,2756,72,BARRIO SANTA ELENA,null,BARR.,BARRIO,5
1911,267,73,SECTOR PARCELAMIENTO LA FE,1100,SECT.,SECTOR,6
23768,23731,74,SECTOR GUASIPATI,8001,SECT.,SECTOR,6
28107,2758,75,COMUNIDAD MUYAPA,3158,COM.,COMUNIDAD,15
18073,2812,76,CASERIO DESEMBOCADERO,3350,CAS.,CASERIO,14
24277,2272,77,BARRIO EL CARMEN,2017,BARR.,BARRIO,5
25044,2290,78,ZONA MILITAR FUERTE PARAMACAY,2005,ZONA,ZONA,11
30987,2789,79,URBANIZACION EL ENSUENO,6301,URB.,URBANIZACION,4
8479,8172,80,COMUNIDAD GAVILAN,7101,COM.,COMUNIDAD,15
